Age,Gender,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,Obesity_level
19,Male,1.75,76,yes,yes,3,3,Sometimes,no,2,yes,3,1,Sometimes,Public_Transportation,Normal_Weight
19,Male,1.85,65,yes,no,2,3,Sometimes,no,3,no,2,1,Sometimes,Bike,Normal_Weight
19,Female,1.63,58,no,no,3,3,Sometimes,no,2,yes,0,0,no,Public_Transportation,Normal_Weight
19,Female,1.6,45,no,no,3,3,no,no,3,yes,2,0,no,Walking,Insufficient_Weight
19,Male,1.82,87,yes,yes,2,3,Sometimes,no,2,no,0,0,no,Public_Transportation,Overweight_Level_I
17,Female,1.75,57,yes,yes,3,3,Frequently,no,2,no,0,1,no,Public_Transportation,Normal_Weight
15,Female,1.65,86,yes,yes,3,3,Sometimes,no,1,no,3,2,no,Walking,Obesity_Type_I
17,Female,1.7,85,yes,no,2,3,Frequently,no,2,no,1,1,no,Public_Transportation,Overweight_Level_II
19,Female,1.63,76,yes,no,3,3,Frequently,yes,3,no,2,1,Sometimes,Automobile,Overweight_Level_II
18,Male,1.75,80,yes,yes,2,3,Always,no,2,no,0,0,Frequently,Public_Transportation,Overweight_Level_I
19,Male,1.67,68,no,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Normal_Weight
19,Female,1.65,56,yes,yes,3,3,Frequently,yes,3,yes,1,2,Frequently,Public_Transportation,Normal_Weight
18,Male,1.6,58,yes,yes,2,3,Frequently,no,2,no,1,0,Sometimes,Public_Transportation,Normal_Weight
18,Male,1.74,64,no,no,3,3,Sometimes,no,2,yes,0,1,no,Public_Transportation,Normal_Weight
18,Female,1.58,48,no,yes,2,3,Sometimes,no,2,no,1,0,no,Public_Transportation,Normal_Weight
19,Male,1.8,85,yes,yes,3,3,Sometimes,no,2,no,1,1,Sometimes,Walking,Overweight_Level_I
19,Male,1.75,100,yes,yes,2,3,Frequently,no,2,no,2,0,no,Public_Transportation,Obesity_Type_I
19,Female,1.64,53,yes,yes,3,3,Sometimes,no,1,no,1,1,no,Public_Transportation,Normal_Weight
19,Female,1.7,64,yes,yes,3,3,no,no,3,yes,3,1,no,Public_Transportation,Normal_Weight
19,Male,1.78,81,yes,no,1,3,Sometimes,no,2,no,3,0,no,Bike,Overweight_Level_I
18,Male,1.75,85,yes,no,2,3,Sometimes,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_II
19,Male,1.85,115,no,no,2,3,Sometimes,no,3,yes,1,2,no,Public_Transportation,Obesity_Type_I
18,Female,1.67,91,yes,yes,1,3,Frequently,no,1,no,0,1,Sometimes,Public_Transportation,Obesity_Type_I
18,Male,1.74,70,no,yes,2,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Normal_Weight
